fTNear,fTFar,fDelT,fQNear,fQFar,d
118863701517,118863701522,5,36,26,-20
2683106,2683108,2,1359,1150,-20
2948892,2948886,-6,833,4033,-20
3406152,3406154,2,1531,1195,-20
6891805,6891809,4,1563,1982,-20
16871765,16871767,2,1414,1539,-20
16990825,16990827,2,1138,1511,-20
19530381,19530383,2,2485,1590,-20
19824842,19824846,4,1709,1515,-20
20293443,20293446,3,1215,1656,-20
21252554,21252557,3,2024,1211,-20
21445670,21445681,11,2571,1463,-20
27535657,27535658,1,1349,936,-20
27943795,27943799,4,2625,1335,-20
35556791,35556794,3,1400,1188,-20
36894426,36894431,5,1570,1183,-20
39170825,39170826,1,1320,1619,-20
40392682,40392686,4,2113,1138,-20
40705526,40705531,5,2063,1999,-20
50867341,50867346,5,1529,1207,-20
51837333,51837335,2,1018,738,-20
56004524,56004528,4,2276,1461,-20
58096989,58096993,4,1947,1621,-20
59271609,59271611,2,2069,1593,-20
62645303,62645310,7,1095,1042,-20
64683457,64683464,7,10062,2865,-20
65587259,65587262,3,1428,1394,-20
67637266,67637268,2,2322,1301,-20
69130014,69130018,4,1928,1930,-20
69301913,69301915,2,1796,952,-20
72351314,72351319,5,2039,1097,-20
74754637,74754641,4,1859,1671,-20
74895293,74895296,3,2367,1947,-20
75375013,75375018,5,2358,1127,-20
76189838,76189842,4,1746,1310,-20
77567719,77567723,4,2184,1864,-20
77858262,77858266,4,1718,1179,-20
78031397,78031407,10,14059,22831,-20
78591787,78591767,-20,1331,635,-20
78681926,78681930,4,1867,1228,-20
83135290,83135293,3,1752,1850,-20
83748272,83748274,2,1289,1448,-20
86170581,86170582,1,1394,1425,-20
98987049,98987052,3,1991,1715,-20
99850711,99850715,4,1564,1183,-20
100628219,100628212,-7,1772,6549,-20
100957647,100957651,4,1547,1029,-20
101804772,101804778,6,2323,1895,-20
102063986,102063990,4,1797,1831,-20
102905230,102905233,3,1529,1112,-20
105717098,105717101,3,1757,1218,-20
108522225,108522237,12,31,590,-20
109533666,109533670,4,1860,1604,-20
113997345,113997349,4,2215,1424,-20
114057759,114057761,2,1752,1413,-20
115618073,115618077,4,37200,27453,-20
116376726,116376730,4,1961,2161,-20
119040446,119040450,4,2035,1491,-20
121984166,121984171,5,2100,1653,-20
122545545,122545545,0,24895,22575,-20
122731876,122731879,3,683,1021,-20
124423751,124423754,3,1593,1383,-20
126480871,126480874,3,1141,1046,-20
132933123,132933126,3,1711,1487,-20
134338374,134338378,4,2264,1477,-20
134685027,134685030,3,2030,1555,-20
135431736,135431738,2,2132,1391,-20
137300256,137300268,12,325,1119,-20
137725274,137725278,4,1771,1486,-20
138141597,138141598,1,1866,1469,-20
139439617,139439618,1,2170,1589,-20
140295465,140295466,1,1796,2520,-20
144333247,144333251,4,2291,1679,-20
147016645,147016647,2,2425,1610,-20
148616922,148616925,3,1848,2276,-20
155721789,155721793,4,1802,1382,-20
155937042,155937046,4,1462,1443,-20
157296259,157296264,5,3135,1361,-20
159041949,159041953,4,1518,956,-20
161557321,161557324,3,2040,1638,-20
168789823,168789824,1,970,2106,-20
169143277,169143279,2,1402,1502,-20
170889122,170889129,7,4545,1487,-20
171533058,171533062,4,1434,1469,-20
172439515,172439519,4,1355,1071,-20
183307798,183307801,3,2514,1532,-20
183769335,183769340,5,1254,1167,-20
183891917,183891920,3,2261,1014,-20
186521214,186521214,0,1866,4688,-20
186606307,186606311,4,2300,1466,-20
193651601,193651606,5,1418,1020,-20
195210608,195210611,3,2282,1307,-20
201674818,201674822,4,1671,1438,-20
203688447,203688451,4,1726,975,-20
205101465,205101462,-3,1103,2114,-20
205833728,205833729,1,57,976,-20
207941579,207941581,2,1741,1248,-20
209650626,209650636,10,18746,22642,-20
213462910,213462906,-4,23059,10602,-20
218331038,218331035,-3,1012,2165,-20
219223237,219223243,6,2376,1518,-20
220882399,220882401,2,1317,1398,-20
221165118,221165099,-19,859,1205,-20
221246696,221246699,3,2364,2096,-20
221588134,221588137,3,1842,1948,-20
222524158,222524159,1,1697,2889,-20
223352389,223352393,4,2334,1579,-20
223524519,223524517,-2,1083,2958,-20
224561729,224561733,4,1204,1260,-20
228171297,228171300,3,1460,841,-20
233285549,233285551,2,1321,1096,-20
236015926,236015930,4,1749,1929,-20
236171975,236171978,3,1399,1194,-20
237258550,237258550,0,1504,1516,-20
238320542,238320547,5,1582,1076,-20
241206007,241206001,-6,1134,3365,-20
244977565,244977569,4,2974,1928,-20
245106209,245106210,1,2116,1389,-20
247058330,247058332,2,1645,2002,-20
249153084,249153084,0,1311,1825,-20
251499637,251499641,4,1175,1544,-20
252893471,252893474,3,2221,1773,-20
253960286,253960286,0,1800,1226,-20
254053889,254053894,5,1987,1648,-20
257024990,257024993,3,941,829,-20
259837046,259837051,5,1408,1242,-20
261902967,261902967,0,2293,2180,-20
262626529,262626531,2,1521,1326,-20
267192977,267192979,2,1756,1392,-20
277427506,277427508,2,1345,1059,-20
277514143,277514146,3,1005,646,-20
278670466,278670470,4,1246,907,-20
280010877,280010880,3,1736,1205,-20
284691513,284691519,6,1789,1012,-20
284826454,284826459,5,1722,1134,-20
285994674,285994660,-14,1953,1137,-20
287414551,287414555,4,1837,1588,-20
294708560,294708563,3,1408,1307,-20
295148945,295148949,4,1843,1524,-20
297875344,297875345,1,1074,1366,-20
300811589,300811592,3,1484,1050,-20
301613050,301613051,1,2040,1376,-20
304950139,304950142,3,1763,1396,-20
308821104,308821107,3,14265,50095,-20
309506346,309506347,1,3115,3660,-20
310893186,310893193,7,4785,1604,-20
311415687,311415690,3,1470,1557,-20
316234994,316234998,4,1326,1208,-20
316392416,316392418,2,1763,993,-20
317483074,317483078,4,1185,1549,-20
317896197,317896196,-1,1439,1865,-20
319675566,319675569,3,1726,1610,-20
321629105,321629105,0,2336,4150,-20
329787165,329787162,-3,1390,1923,-20
332114219,332114222,3,1601,1016,-20
333953651,333953652,1,1265,1330,-20
334054731,334054735,4,1809,1345,-20
334794527,334794531,4,1791,1098,-20
337587578,337587583,5,1405,707,-20
340384904,340384910,6,2406,1147,-20
340975696,340975701,5,1323,1152,-20
341367605,341367607,2,2151,1298,-20
343453615,343453622,7,6457,2273,-20
347637529,347637533,4,1742,1131,-20
350973214,350973218,4,2295,1523,-20
353675542,353675546,4,2159,1471,-20
356099685,356099693,8,1435,1193,-20
360138645,360138649,4,1719,1599,-20
361054818,361054821,3,1549,1619,-20
362980163,362980166,3,1561,1356,-20
365592148,365592152,4,1706,1510,-20
366018574,366018579,5,1145,795,-20
366600063,366600065,2,1740,1214,-20
367842878,367842858,-20,2075,1673,-20
368274890,368274893,3,1585,1273,-20
372025875,372025878,3,1951,1420,-20
374326058,374326063,5,1959,1675,-20
375032825,375032829,4,2374,1735,-20
376653680,376653683,3,1932,931,-20
382529966,382529970,4,2045,1442,-20
386226604,386226606,2,1582,1228,-20
386550886,386550890,4,1765,1392,-20
387188818,387188822,4,1539,1413,-20
388369715,388369723,8,12973,28502,-20
395935961,395935963,2,1233,909,-20
398661836,398661839,3,1772,1563,-20
402809908,402809911,3,1737,1251,-20
403634186,403634189,3,1791,1904,-20
405474730,405474733,3,1427,943,-20
405829207,405829188,-19,1123,1429,-20
406981671,406981675,4,2074,1201,-20
407725061,407725063,2,1766,1463,-20
410534432,410534434,2,1936,1731,-20
412715811,412715814,3,2063,2204,-20
413064159,413064161,2,1566,1600,-20
416848299,416848300,1,2209,3964,-20
417601495,417601491,-4,1473,3311,-20
422301515,422301519,4,2074,1700,-20
425433018,425433019,1,1501,1046,-20
430383377,430383379,2,2053,2163,-20
434516484,434516486,2,1274,1209,-20
436179824,436179827,3,2114,1261,-20
441798611,441798616,5,2008,1383,-20
449376614,449376618,4,1934,2489,-20
450153549,450153550,1,2408,2609,-20
452082205,452082206,1,1707,2093,-20
452665050,452665052,2,1997,1969,-20
456071198,456071202,4,1979,1539,-20
460376454,460376455,1,1513,1285,-20
463872205,463872207,2,1813,1372,-20
465302216,465302220,4,1741,1908,-20
465705975,465705977,2,1103,763,-20
468838959,468838937,-22,1420,1009,-20
470202038,470202042,4,2608,1787,-20
470927912,470927913,1,930,947,-20
474737424,474737429,5,3573,1813,-20
477273968,477273971,3,1677,1958,-20
477849561,477849564,3,1679,1234,-20
480170593,480170595,2,2324,2068,-20
482862342,482862342,0,1792,1864,-20
483292780,483292773,-7,1236,4490,-20
485005937,485005940,3,1779,1544,-20
487673557,487673561,4,2138,1514,-20
489537229,489537231,2,1878,1288,-20
494344171,494344174,3,1754,1100,-20
495015848,495015846,-2,3596,3834,-20
496256109,496256112,3,1421,1035,-20
498555897,498555900,3,1560,1160,-20
499140134,499140138,4,3226,2006,-20
502289266,502289270,4,1887,1626,-20
506630333,506630334,1,1334,2205,-20
511178474,511178471,-3,1167,3353,-20
512809193,512809184,-9,1342,1269,-20
515586922,515586927,5,1462,1793,-20
518391982,518391985,3,1211,809,-20
520247672,520247675,3,1775,1501,-20
521853654,521853657,3,1631,1660,-20
521897486,521897487,1,1571,1279,-20
523476201,523476203,2,1764,1537,-20
524074465,524074467,2,1487,1497,-20
526717075,526717079,4,1984,1043,-20
529185014,529185018,4,1813,1475,-20
530114674,530114656,-18,1249,1144,-20
530912506,530912510,4,1622,1509,-20
531321313,531321317,4,2275,1929,-20
533702446,533702449,3,1542,1257,-20
534871846,534871848,2,1397,1147,-20
536137072,536137075,3,1379,1053,-20
539237435,539237439,4,2823,1006,-20
540059833,540059827,-6,1194,3041,-20
541242849,541242850,1,2036,1605,-20
544173421,544173424,3,1901,1424,-20
545167114,545167118,4,1922,1151,-20
548651423,548651425,2,1267,1517,-20
553209696,553209700,4,2144,1902,-20
553720335,553720347,12,480,132,-20
555876084,555876082,-2,1487,1688,-20
556732770,556732774,4,1089,1150,-20
560132734,560132737,3,1874,1122,-20
563130639,563130639,0,1236,1319,-20
563521380,563521379,-1,1061,1724,-20
565609709,565609713,4,2576,1382,-20
569461024,569461028,4,1780,1632,-20
570979509,570979512,3,1831,1013,-20
572453954,572453959,5,1555,1020,-20
575962426,575962430,4,2126,2105,-20
578764311,578764290,-21,1652,1479,-20
580228277,580228282,5,1618,1229,-20
580751907,580751892,-15,757,177,-20
581938510,581938514,4,1179,869,-20
582248487,582248490,3,1879,1642,-20
586095298,586095302,4,2041,1474,-20
588709966,588709972,6,2059,1535,-20
589552838,589552843,5,1700,1685,-20
590248040,590248042,2,2203,1697,-20
591520658,591520662,4,2093,1364,-20
597260117,597260123,6,2514,1707,-20
599025315,599025319,4,1875,1487,-20
602421118,602421121,3,2596,1143,-20
603893752,603893756,4,2006,1297,-20
607262386,607262390,4,1798,1270,-20
608069238,608069237,-1,1669,2295,-20
608440962,608440966,4,1528,1543,-20
609849390,609849393,3,1672,1504,-20
610194326,610194331,5,1534,1471,-20
611535373,611535377,4,2997,1708,-20
612341365,612341363,-2,673,1620,-20
613122374,613122379,5,1529,1267,-20
615645830,615645835,5,1649,1129,-20
623969489,623969491,2,2094,1060,-20
625413745,625413748,3,1295,1283,-20
633943931,633943935,4,2080,1301,-20
637822006,637822010,4,1665,878,-20
645184062,645184066,4,1999,1572,-20
646951639,646951641,2,1824,1302,-20
647865242,647865241,-1,1070,1567,-20
649249474,649249481,7,2874,1064,-20
650852511,650852514,3,1634,1551,-20
652221605,652221606,1,2072,1755,-20
653316047,653316051,4,1480,1017,-20
653613922,653613927,5,1846,1036,-20
657416298,657416301,3,1664,1970,-20
658207610,658207614,4,1967,1142,-20
660575854,660575858,4,1408,1615,-20
660642725,660642733,8,4255,40623,-20
663371610,663371615,5,1046,912,-20
664140298,664140302,4,1893,1501,-20
664338747,664338753,6,1977,1195,-20
665112548,665112552,4,2112,1355,-20
668849834,668849836,2,2596,1996,-20
672808305,672808310,5,2782,2273,-20
673131074,673131076,2,1669,1557,-20
673865930,673865934,4,1195,1349,-20
675924613,675924617,4,2226,1673,-20
679011157,679011159,2,1128,864,-20
682106602,682106606,4,2309,1974,-20
683612626,683612630,4,1423,991,-20
686819654,686819658,4,1739,1484,-20
694062377,694062377,0,1771,1531,-20
697926150,697926151,1,2198,2161,-20
702065234,702065237,3,1772,1186,-20
702447740,702447742,2,1860,1746,-20
707418937,707418938,1,2070,1497,-20
708007066,708007063,-3,1111,2502,-20
709274549,709274552,3,2391,1580,-20
710468974,710468977,3,948,1282,-20
714187847,714187851,4,2868,1396,-20
715268181,715268160,-21,1506,1027,-20
715806902,715806905,3,1804,1875,-20
717611042,717611046,4,1438,1310,-20
719481207,719481214,7,17022,40295,-20
719813846,719813850,4,2013,1099,-20
720245230,720245249,19,1303,873,-20
725873641,725873646,5,3023,1648,-20
726965750,726965753,3,1848,1359,-20
727857676,727857678,2,1486,1187,-20
730007599,730007602,3,1678,1389,-20
731205764,731205766,2,1274,1492,-20
733215305,733215306,1,6759,17828,-20
734649494,734649497,3,2662,2421,-20
735103454,735103458,4,1696,1588,-20
735601530,735601534,4,1618,1292,-20
739291229,739291233,4,1441,1031,-20
743279795,743279799,4,2315,1404,-20
748803703,748803707,4,1299,1385,-20
752742600,752742603,3,1615,1024,-20
753031047,753031050,3,2023,1650,-20
753462954,753462956,2,1528,1254,-20
753494291,753494294,3,1448,1551,-20
759807698,759807703,5,2168,1369,-20
761315626,761315629,3,1478,1546,-20
763594126,763594131,5,3385,1415,-20
766087182,766087185,3,2434,1777,-20
768760762,768760763,1,869,1108,-20
774803569,774803571,2,1546,1053,-20
775420460,775420465,5,1811,1100,-20
777801835,777801840,5,1622,1218,-20
778876978,778876979,1,1278,1495,-20
783058086,783058087,1,1197,1092,-20
786359424,786359430,6,1972,1798,-20
787598295,787598294,-1,1030,1323,-20
789548399,789548399,0,1155,1973,-20
792578606,792578611,5,2558,2014,-20
794166034,794166038,4,1819,1475,-20
795114284,795114287,3,2209,2128,-20
797975414,797975422,8,5881,2922,-20
798742763,798742765,2,1552,1987,-20
802297824,802297820,-4,25129,14652,-20
802557292,802557290,-2,1595,2568,-20
802792241,802792243,2,2104,1519,-20
809206801,809206806,5,1124,1448,-20
809748169,809748174,5,2670,1358,-20
809816909,809816911,2,1857,1389,-20
812265442,812265438,-4,1932,3458,-20
814237702,814237707,5,1491,1485,-20
816225817,816225820,3,1584,1473,-20
817055313,817055315,2,1998,1330,-20
823904486,823904506,20,718,1202,-20
827337758,827337762,4,2299,1116,-20
828079181,828079185,4,2713,1526,-20
828471600,828471603,3,1711,1455,-20
828701579,828701584,5,1742,1342,-20
828811494,828811497,3,2488,1390,-20
831258072,831258071,-1,2745,3916,-20
832672160,832672162,2,2055,1180,-20
836221380,836221383,3,1478,1694,-20
841706964,841706969,5,2484,1558,-20
843025745,843025751,6,2004,1306,-20
845697101,845697103,2,1894,1485,-20
846098471,846098482,11,10533,36376,-20
846406326,846406331,5,1375,1093,-20
849937200,849937204,4,2104,1457,-20
850232773,850232775,2,1028,913,-20
853074479,853074461,-18,1042,546,-20
854974978,854974979,1,2426,1505,-20
855068678,855068700,22,1231,1192,-20
857098217,857098221,4,1873,1479,-20
858987221,858987219,-2,1428,2012,-20
862140602,862140604,2,1889,1474,-20
864516369,864516373,4,2873,2079,-20
864701687,864701691,4,2075,1447,-20
865048631,865048610,-21,1359,554,-20
865537001,865537005,4,2050,1630,-20
866433310,866433314,4,1503,1100,-20
871236951,871236950,-1,1360,1367,-20
874824794,874824795,1,1325,1141,-20
877942978,877942980,2,1057,1486,-20
881221636,881221641,5,2968,1590,-20
883116114,883116120,6,1670,1394,-20
883340269,883340269,0,1196,2180,-20
884596967,884596970,3,2087,1239,-20
887537561,887537557,-4,983,2010,-20
889722770,889722774,4,1129,1118,-20
890152713,890152717,4,1699,1310,-20
890692422,890692426,4,1501,1444,-20
891385066,891385070,4,2254,1827,-20
892468899,892468903,4,1730,1501,-20
892802298,892802302,4,2365,1781,-20
893832041,893832043,2,1295,1075,-20
895633559,895633562,3,1672,1120,-20
901161855,901161860,5,2329,1644,-20
902435629,902435630,1,2108,1251,-20
903596218,903596222,4,4193,2271,-20
905416137,905416139,2,1403,1241,-20
905792445,905792446,1,1868,1512,-20
907826030,907826033,3,1435,1269,-20
912865609,912865615,6,1422,1143,-20
914516801,914516802,1,1932,1143,-20
916259537,916259534,-3,1304,1154,-20
919037634,919037638,4,1724,1459,-20
921568258,921568262,4,899,557,-20
926186934,926186938,4,2614,1602,-20
926957435,926957441,6,2125,1385,-20
927473671,927473658,-13,694,281,-20
935146405,935146409,4,2108,1467,-20
935895350,935895329,-21,1203,515,-20
937155402,937155405,3,2569,1999,-20
943170645,943170649,4,2097,783,-20
943509298,943509313,15,512,429,-20
944957034,944957035,1,1741,1206,-20
946763710,946763714,4,1694,1140,-20
948543445,948543451,6,2237,1411,-20
949367931,949367931,0,882,2304,-20
949954128,949954131,3,1165,1052,-20
951017113,951017118,5,1467,1119,-20
954137839,954137837,-2,1105,2174,-20
955410468,955410470,2,1361,1365,-20
958169177,958169179,2,1950,1119,-20
958652566,958652567,1,1709,1386,-20
959610184,959610187,3,1891,1965,-20
961792569,961792573,4,1831,1337,-20
964777915,964777919,4,2508,1711,-20
965645081,965645082,1,1728,1053,-20
968870298,968870302,4,2141,924,-20
973117567,973117570,3,1302,817,-20
977520089,977520092,3,1445,1186,-20
978031482,978031484,2,2418,1313,-20
978493377,978493382,5,2437,1304,-20
980997783,980997786,3,1269,979,-20
981369974,981369970,-4,2349,6220,-20
982585926,982585926,0,150,3385,-20
983254358,983254363,5,1542,1025,-20
983661329,983661333,4,2771,2025,-20
984056419,984056424,5,1861,1259,-20
985084873,985084874,1,1595,1678,-20
988074162,988074164,2,1429,1597,-20
990321861,990321863,2,2533,2034,-20
990881883,990881884,1,1949,1941,-20
991526894,991526899,5,1414,885,-20
992163187,992163191,4,1956,1748,-20
995849872,995849877,5,1693,1169,-20
1000928738,1000928741,3,1267,1210,-20
1003021913,1003021917,4,3269,1904,-20
1010705411,1010705414,3,1368,1755,-20
1014706794,1014706797,3,1240,1248,-20
1014992238,1014992240,2,2693,2079,-20
1015165325,1015165328,3,1715,1572,-20
1016312802,1016312805,3,1447,1543,-20
1019223361,1019223365,4,2303,1597,-20
1019694930,1019694933,3,1476,1302,-20
1022130242,1022130246,4,1898,1361,-20
1022343845,1022343852,7,2326,1201,-20
1025478509,1025478510,1,1153,933,-20
1025831330,1025831322,-8,1030,4650,-20
1028605238,1028605243,5,1660,1314,-20
1031056130,1031056133,3,1822,1475,-20
1034560738,1034560741,3,1248,1431,-20
1035212458,1035212463,5,2239,1478,-20
1037045573,1037045556,-17,3778,2050,-20
1043644171,1043644176,5,1930,1464,-20
1048330050,1048330034,-16,1300,1004,-20
1051899829,1051899833,4,2341,1834,-20
1056259243,1056259242,-1,1651,2491,-20
1058413813,1058413819,6,1809,861,-20
1060010859,1060010861,2,1517,1122,-20
1061476805,1061476808,3,1818,1229,-20
1062179922,1062179928,6,2502,1732,-20
1062653782,1062653786,4,2107,1415,-20
1063481864,1063481868,4,2046,1374,-20
1066040773,1066040775,2,2620,2025,-20
1078841231,1078841238,7,2105,1044,-20
1082201638,1082201644,6,2155,1466,-20
1084855305,1084855301,-4,1908,5319,-20
1087617327,1087617331,4,1586,1521,-20
1091331701,1091331705,4,2543,1481,-20
1099383793,1099383798,5,1525,1207,-20
1102142741,1102142743,2,1987,1438,-20
1103020897,1103020899,2,2238,1444,-20
1104467982,1104467982,0,1198,1256,-20
1105303882,1105303885,3,1469,1334,-20
1111121032,1111121034,2,1515,1453,-20
1111261567,1111261573,6,1976,1648,-20
1111625174,1111625173,-1,1716,2004,-20
1112270321,1112270325,4,1996,946,-20
1113544401,1113544406,5,2621,1630,-20
1114528393,1114528397,4,1785,1018,-20
1117934026,1117934028,2,2145,1666,-20
1119827045,1119827046,1,1376,1282,-20
1121475873,1121475874,1,2214,1710,-20
1123294891,1123294895,4,1159,857,-20
1124692553,1124692555,2,2525,1938,-20
1125391132,1125391136,4,2035,1635,-20
1126538235,1126538240,5,45211,29132,-20
1127086498,1127086503,5,2303,1127,-20
1129678462,1129678442,-20,2723,1468,-20
1131664090,1131664094,4,2526,1640,-20
1133743433,1133743419,-14,278,137,-20
1135431003,1135431006,3,1309,1574,-20
1138081344,1138081346,2,2026,1426,-20
1139785238,1139785242,4,1476,1721,-20
1140301137,1140301139,2,2246,1518,-20
1141311958,1141311962,4,1870,1662,-20
1146245642,1146245646,4,1642,1291,-20
1147359838,1147359841,3,1927,1374,-20
1149313561,1149313566,5,1263,1441,-20
1157016752,1157016755,3,1616,1367,-20
1158088110,1158088111,1,1804,972,-20
1158718248,1158718245,-3,1928,5159,-20
1166572618,1166572619,1,2809,3004,-20
1167243968,1167243970,2,2176,2006,-20
1168835178,1168835182,4,1432,1839,-20
1169060581,1169060582,1,1580,1219,-20
1171330081,1171330086,5,1550,994,-20
1172088801,1172088805,4,2420,1405,-20
1172983582,1172983585,3,1554,1389,-20
1180455401,1180455403,2,1068,779,-20
1182158381,1182158384,3,2110,1476,-20
1186339285,1186339287,2,2103,1380,-20
1188097829,1188097830,1,1846,1531,-20
1191218384,1191218388,4,1528,1539,-20
1192353522,1192353529,7,1453,1496,-20
1194034539,1194034521,-18,961,1467,-20
1196365909,1196365924,15,15311,21690,-20
1196434263,1196434267,4,2013,1496,-20
1207905021,1207905026,5,1505,1355,-20
1212873414,1212873414,0,1520,2004,-20
1213618255,1213618258,3,2049,1214,-20
1216129026,1216129030,4,1528,1295,-20
1217240199,1217240201,2,2402,1663,-20
1220038128,1220038132,4,1788,1452,-20
1222538001,1222538003,2,1785,1907,-20
1222895278,1222895283,5,1437,1630,-20
1224533777,1224533779,2,2880,1598,-20
1227754145,1227754147,2,2344,1427,-20
1228354297,1228354299,2,1885,2384,-20
1229298711,1229298714,3,1679,1697,-20
1229345957,1229345968,11,1485,1199,-20
1232261081,1232261084,3,863,863,-20
1234780486,1234780490,4,1610,1263,-20
1236033099,1236033101,2,2115,1864,-20
1237894704,1237894709,5,1792,1630,-20
1240582337,1240582343,6,1021,787,-20
1241099429,1241099426,-3,1081,2851,-20
1241188342,1241188345,3,1526,1183,-20
1242726323,1242726325,2,1878,1462,-20
1249230529,1249230533,4,2363,1454,-20
1249537397,1249537399,2,1188,1122,-20
1253994699,1253994702,3,1930,1706,-20
1255149530,1255149535,5,2034,1168,-20
1269468965,1269468967,2,1698,1463,-20
1270826849,1270826853,4,1988,1417,-20
1271271432,1271271435,3,1100,926,-20
1278719842,1278719848,6,4139,1616,-20
1279258851,1279258846,-5,786,1613,-20
1279512726,1279512730,4,1397,1226,-20
1280362600,1280362602,2,2258,1895,-20
1291933206,1291933208,2,1661,1233,-20
1292958861,1292958863,2,1695,1669,-20
1295142464,1295142466,2,1179,1410,-20
1296550977,1296550977,0,1406,1671,-20
1297966618,1297966616,-2,1815,3427,-20
1299215350,1299215358,8,6903,2783,-20
1303071655,1303071659,4,998,831,-20
1304061042,1304061043,1,1307,1501,-20
1306226745,1306226749,4,1624,1787,-20
1307211735,1307211733,-2,1423,2391,-20
1308319069,1308319074,5,2426,1427,-20
1308760776,1308760779,3,1318,1212,-20
1308894441,1308894445,4,1642,1494,-20
1314218069,1314218075,6,1892,1062,-20
1316691901,1316691905,4,1699,1614,-20
1317399030,1317399034,4,1692,1794,-20
1318147267,1318147268,1,997,1124,-20
1319060423,1319060427,4,2046,1395,-20
1319679588,1319679589,1,1671,1449,-20
1319911497,1319911488,-9,1543,1857,-20
1322646161,1322646162,1,1423,944,-20
1325148407,1325148413,6,1982,1392,-20
1326927661,1326927664,3,2601,1830,-20
1329825397,1329825401,4,1595,1450,-20
1332391026,1332391029,3,2000,1447,-20
1333027510,1333027514,4,1066,1282,-20
1333393011,1333393014,3,1595,1380,-20
1337086605,1337086606,1,998,1076,-20
1341320167,1341320169,2,1591,1405,-20
1349615970,1349615975,5,1535,1433,-20
1356704393,1356704395,2,1707,1261,-20
1357109141,1357109143,2,1378,1205,-20
1357789707,1357789710,3,1162,721,-20
1358750929,1358750937,8,3784,1332,-20
1360765296,1360765299,3,1773,1921,-20
1360857919,1360857923,4,1647,1022,-20
1361161078,1361161081,3,1490,1266,-20
1362655273,1362655275,2,2758,1326,-20
1369389583,1369389586,3,2550,1210,-20
1375001102,1375001103,1,1422,1013,-20
1380436505,1380436507,2,1447,1484,-20
1382837699,1382837703,4,1945,1530,-20
1386159691,1386159694,3,1125,861,-20
1389956345,1389956347,2,1635,1330,-20
1391012846,1391012850,4,2904,1820,-20
1394882853,1394882856,3,1485,1302,-20
1395014028,1395014031,3,1408,1481,-20
1396314530,1396314532,2,1318,1149,-20
1398753113,1398753113,0,1245,2215,-20
1403173573,1403173575,2,1298,1445,-20
1407140853,1407140859,6,1648,1322,-20
