fTNear,fTFar,fDelT,fQNear,fQFar,d
119117474028,119117474025,-3,17,17,-10
820661,820666,5,2192,780,-10
1529526,1529507,-19,2010,1321,-10
4489217,4489218,1,891,1091,-10
5140566,5140569,3,1837,1580,-10
7390244,7390245,1,2302,1764,-10
10940576,10940577,1,1604,2083,-10
14206023,14206023,0,985,1540,-10
15712223,15712223,0,1270,878,-10
17990486,17990488,2,1244,1900,-10
18234734,18234735,1,1537,2065,-10
18768754,18768754,0,1325,1486,-10
19624050,19624050,0,1924,1643,-10
21086256,21086258,2,1589,897,-10
26694651,26694653,2,947,1169,-10
30166381,30166383,2,1875,1694,-10
32164716,32164718,2,1574,2274,-10
32455182,32455182,0,1802,1862,-10
33266954,33266956,2,1282,1659,-10
34196152,34196153,1,30926,92216,-10
34336408,34336409,1,1008,1451,-10
39612467,39612463,-4,1005,1805,-10
42950564,42950572,8,10948,36906,-10
49769731,49769735,4,940,838,-10
50315515,50315516,1,1965,1717,-10
50469858,50469855,-3,1144,2119,-10
50868130,50868133,3,1721,1750,-10
54305995,54305998,3,1815,1574,-10
55092429,55092430,1,1148,1120,-10
55121349,55121351,2,1786,1626,-10
55660454,55660455,1,1553,1493,-10
55854601,55854603,2,1248,1937,-10
58123861,58123861,0,1088,1249,-10
59979509,59979505,-4,1443,2435,-10
62533589,62533590,1,1168,1556,-10
63313847,63313849,2,1216,1420,-10
69952114,69952115,1,1679,1725,-10
72112685,72112686,1,1345,1873,-10
72606665,72606666,1,1503,1478,-10
72949126,72949128,2,2282,2298,-10
73166402,73166405,3,1254,1233,-10
76495726,76495726,0,1066,1551,-10
79112625,79112626,1,1365,1944,-10
79921345,79921349,4,3587,2985,-10
81995863,81995862,-1,2180,1577,-10
82316829,82316824,-5,1241,1996,-10
82907494,82907494,0,1551,1411,-10
84767521,84767523,2,1923,1737,-10
84918137,84918134,-3,1361,1307,-10
85108144,85108139,-5,1445,1505,-10
86732514,86732516,2,1965,1975,-10
92121371,92121366,-5,1534,5197,-10
93605756,93605757,1,1674,1389,-10
93856575,93856554,-21,1778,1796,-10
106273730,106273733,3,1185,1526,-10
106818961,106818963,2,1836,1424,-10
108520669,108520670,1,1755,1691,-10
109504279,109504277,-2,1622,2040,-10
109963647,109963652,5,1949,1128,-10
116005942,116005944,2,1207,1399,-10
120149965,120149968,3,1280,1460,-10
121835038,121835033,-5,1804,4079,-10
123445535,123445537,2,1210,1381,-10
123854134,123854136,2,1168,1296,-10
124132432,124132435,3,1270,1118,-10
127747741,127747747,6,1784,1525,-10
133247302,133247303,1,1429,1441,-10
134820011,134820012,1,1375,1269,-10
137018868,137018882,14,16438,47570,-10
139757385,139757386,1,1003,1669,-10
142068941,142068943,2,1289,1637,-10
147582758,147582761,3,1792,1658,-10
