fTNear,fTFar,fDelT,fQNear,fQFar,d
0,0,0,216,37,30
2723844,2723842,-2,912,2346,30
13061606,13061603,-3,1082,2681,30
13492949,13492942,-7,1241,4579,30
18988811,18988809,-2,1031,2463,30
19907075,19907095,20,410,1524,30
23395677,23395673,-4,749,2742,30
23655620,23655634,14,954,3193,30
31345038,31345033,-5,1003,2648,30
32353767,32353762,-5,619,1516,30
38014788,38014783,-5,702,1128,30
41674126,41674122,-4,712,1613,30
42200201,42200201,0,216,1023,30
47138307,47138305,-2,1161,1744,30
48717202,48717198,-4,894,2343,30
56312307,56312302,-5,721,3276,30
57211154,57211134,-20,1145,2765,30
63541606,63541602,-4,1089,2611,30
64757972,64757967,-5,996,2488,30
81319930,81319927,-3,1065,3827,30
82053072,82053089,17,876,2528,30
84607778,84607784,6,11357,21343,30
85004152,85004147,-5,673,2423,30
88109949,88109947,-2,752,1433,30
90074091,90074077,-14,153,996,30
92233946,92233925,-21,114,892,30
92674711,92674705,-6,893,2871,30
93916589,93916583,-6,1160,2663,30
97906678,97906674,-4,719,2004,30
98598049,98598055,6,2751,936,30
100774091,100774086,-5,1596,4791,30
100950229,100950229,0,1489,1392,30
101133676,101133670,-6,1182,2939,30
101498928,101498914,-14,1002,3670,30
109648622,109648616,-6,1403,12461,30
114964522,114964528,6,3653,1864,30
116990186,116990181,-5,786,2681,30
120218116,120218110,-6,1074,2716,30
121172233,121172228,-5,1162,2479,30
124967463,124967460,-3,1011,2862,30
140861197,140861198,1,1443,1477,30
143935803,143935797,-6,1071,3601,30
146010635,146010629,-6,720,1875,30
150066663,150066660,-3,611,2242,30
150969658,150969640,-18,196,893,30
171401514,171401513,-1,1872,3245,30
174477331,174477332,1,1021,1493,30
175119785,175119779,-6,998,2715,30
186662776,186662773,-3,1191,1931,30
186919571,186919566,-5,931,3538,30
187592704,187592702,-2,1540,2555,30
190412994,190412990,-4,641,1918,30
198749987,198749983,-4,1004,2275,30
200904171,200904165,-6,784,2790,30
201039602,201039594,-8,1224,1799,30
205812732,205812727,-5,1543,3089,30
214796234,214796229,-5,881,3265,30
220323820,220323815,-5,1219,5165,30
221270305,221270293,-12,1396,3642,30
221312425,221312421,-4,979,2280,30
221823689,221823686,-3,1057,2901,30
222431901,222431896,-5,1109,2779,30
229773408,229773407,-1,690,1861,30
230211454,230211460,6,4966,2068,30
230777950,230777950,0,1280,1884,30
231838091,231838084,-7,1107,3201,30
232450514,232450509,-5,549,1206,30
238386875,238386871,-4,859,2888,30
238655807,238655802,-5,1005,3887,30
239428992,239428989,-3,1297,3312,30
245470275,245470270,-5,1471,3664,30
245899110,245899105,-5,954,1808,30
246111769,246111762,-7,284,786,30
255493130,255493125,-5,1189,2910,30
269084242,269084237,-5,1177,4182,30
269592231,269592229,-2,964,2218,30
270925267,270925262,-5,1122,2860,30
272373900,272373896,-4,777,2760,30
273363047,273363044,-3,850,2247,30
274067113,274067110,-3,1364,3315,30
274735622,274735616,-6,1202,2259,30
276242899,276242893,-6,1405,5050,30
277252342,277252339,-3,1317,2106,30
279477081,279477076,-5,932,2836,30
280488339,280488338,-1,995,1769,30
282012607,282012601,-6,735,2002,30
284104982,284104978,-4,1285,2714,30
290723127,290723130,3,1946,1402,30
290974106,290974101,-5,776,4032,30
293402820,293402814,-6,1105,2941,30
294460769,294460765,-4,1262,2925,30
296746343,296746339,-4,1033,2002,30
