fTNear,fTFar,fDelT,fQNear,fQFar,fQMean,fQRatio,fZDelT,fZQ,fZMean,correct
1734208,1734209,0,974,2009,1398.84,0.723981,-1.22487,22.4456,10.6104,0.09
1842189,1842187,-2,1458,1826,1631.66,0.225062,11.3257,-0.182316,5.57171,-1.91
2678295,2678294,-1,898,1063,977.023,0.16868,5.04683,-2.7684,1.13921,-0.91
9281442,9281439,-3,1555,3147,2212.14,0.704974,17.6996,21.592,19.6458,-2.91
11225641,11225639,-2,1426,2256,1793.62,0.45872,11.3257,10.4723,10.899,-1.91
12211437,12211435,-2,1443,2464,1885.62,0.535062,11.3257,13.9315,12.6286,-1.91
14148170,14148170,0,1277,1775,1505.55,0.329287,-1.22487,4.58271,1.67892,0.09
15634344,15634345,0,1106,1835,1424.61,0.506295,-1.22487,12.6293,5.70221,0.09
18682347,18682345,-2,1008,2022,1427.65,0.696119,11.3257,21.1941,16.2599,-1.91
19172778,19172777,-1,1138,2012,1513.16,0.569857,5.04683,15.5046,10.2757,-0.91
22025875,22025874,-1,1485,1894,1677.08,0.243276,5.04683,0.651858,2.84934,-0.91
22242429,22242427,-2,1273,2047,1614.26,0.474999,11.3257,11.2108,11.2683,-1.91
24344566,24344563,-3,1445,2611,1942.39,0.591624,17.6996,16.4876,17.0936,-2.91
25757787,25757785,-2,1205,2149,1609.21,0.578523,11.3257,15.8961,13.6109,-1.91
26930893,26930893,0,787,1665,1144.71,0.749352,-1.22487,23.584,11.1796,0.09
28955846,28955842,-4,2297,4202,3106.77,0.603957,24.2562,17.0441,20.6502,-3.91
29318953,29318950,-3,1134,1988,1501.46,0.561378,17.6996,15.1215,16.4105,-2.91
32136195,32136194,-1,1471,2359,1862.82,0.472295,5.04683,11.0882,8.06752,-0.91
32517369,32517369,0,3387,3351,3368.95,-0.0106858,-1.22487,-11.0345,-6.1297,0.09
39905682,39905678,-4,1328,3661,2204.95,1.01406,24.2562,35.3903,29.8233,-3.91
44507947,44507945,-2,778,1804,1184.7,0.841035,11.3257,27.6878,19.5068,-1.91
44546049,44546046,-3,874,2300,1417.82,0.967584,17.6996,33.3267,25.5132,-2.91
47031606,47031605,-1,1062,1910,1424.23,0.586949,5.04683,16.2765,10.6617,-0.91
48712507,48712512,4,2732,1416,1966.85,-0.657198,-27.9949,-41.3229,-34.6589,4.09
50429239,50429237,-2,1140,2596,1720.3,0.822944,11.3257,26.8792,19.1025,-1.91
50567256,50567251,-5,1423,2074,1717.94,0.376712,31.0834,6.74428,18.9138,-4.91
52319987,52319987,0,1083,1793,1393.49,0.504155,-1.22487,12.5324,5.65375,0.09
54691523,54691522,-1,1590,1992,1779.69,0.225405,5.04683,-0.166602,2.44011,-0.91
55689832,55689828,-4,1781,2769,2220.72,0.441311,24.2562,9.68194,16.9691,-3.91
57903556,57903553,-3,1226,1808,1488.83,0.388464,17.6996,7.2793,12.4895,-2.91
65001274,65001273,-1,1142,1597,1350.47,0.335346,5.04683,4.8591,4.95297,-0.91
65065239,65065238,-1,1146,1646,1373.43,0.36207,5.04683,6.07739,5.56211,-0.91
66689876,66689894,17,1168,2510,1712.21,0.76499,-191.788,24.2851,-83.7515,17.09
66986499,66986498,-1,1947,3736,2697.03,0.651726,5.04683,19.1971,12.1219,-0.91
67161364,67161364,0,1414,2620,1924.75,0.616752,-1.22487,17.6212,8.19815,0.09
69531050,69531049,-1,1373,1979,1648.38,0.365594,5.04683,6.2379,5.64236,-0.91
69735100,69735099,-1,990,2015,1412.39,0.71067,5.04683,21.8479,13.4473,-0.91
70225825,70225822,-3,1112,2089,1524.13,0.630525,17.6996,18.2421,17.9708,-2.91
71269867,71269866,-1,953,1418,1162.48,0.397388,5.04683,7.68536,6.36609,-0.91
71754258,71754257,-1,1124,1981,1492.19,0.566708,5.04683,15.3623,10.2046,-0.91
73563965,73563966,0,1277,2173,1665.81,0.531595,-1.22487,13.7747,6.27491,0.09
73845924,73845918,-6,790,3549,1674.43,1.50239,38.2688,56.8302,47.5495,-5.91
85148707,85148707,0,860,1453,1117.85,0.524453,-1.22487,13.4515,6.1133,0.09
87244487,87244489,1,841,1179,995.761,0.33783,-7.57712,4.97242,-1.30235,1.09
87532472,87532471,-1,1796,1992,1891.46,0.103577,5.04683,-5.76182,-0.357493,-0.91
90010275,90010270,-5,909,3726,1840.36,1.41075,31.0834,52.8402,41.9618,-4.91
91992749,91992749,0,903,1654,1222.11,0.605229,-1.22487,17.1015,7.93831,0.09
95658059,95658055,-4,1199,1888,1504.56,0.45403,24.2562,10.2594,17.2578,-3.91
95696242,95696236,-6,931,1573,1210.15,0.524481,38.2688,13.4527,25.8607,-5.91
95900130,95900130,0,1217,1772,1468.51,0.37572,-1.22487,6.69912,2.73713,0.09
96626209,96626207,-2,1279,1909,1562.57,0.400501,11.3257,7.82699,9.57636,-1.91
100620309,100620308,-1,965,1965,1377.03,0.711119,5.04683,21.8681,13.4574,-0.91
103554136,103554136,0,1530,3099,2177.49,0.705812,-1.22487,21.6296,10.2024,0.09
109219991,109219987,-4,1026,1879,1388.47,0.605072,24.2562,17.0944,20.6753,-3.91
111459982,111459982,0,1158,1933,1496.13,0.512379,-1.22487,12.9048,5.83998,0.09
112030131,112030131,0,971,1884,1352.54,0.662826,-1.22487,19.6967,9.23594,0.09
116714452,116714449,-3,1149,2451,1678.15,0.757604,17.6996,23.954,20.8268,-2.91
117121926,117121904,-22,2096,1083,1506.64,-0.660296,273.58,-41.4698,116.055,-21.91
117336081,117336080,-1,1091,2406,1620.17,0.790871,5.04683,25.4443,15.2456,-0.91
125519541,125519540,-1,1240,827,1012.66,-0.405062,5.04683,-29.4187,-12.1859,-0.91
132081566,132081563,-3,1031,2380,1566.45,0.836571,17.6996,27.4884,22.594,-2.91
135550066,135550066,0,1438,1951,1674.97,0.305089,-1.22487,3.4782,1.12667,0.09
135967643,135967641,-2,979,2110,1437.25,0.767912,11.3257,24.416,17.8709,-1.91
136229348,136229346,-2,1109,1608,1335.39,0.371532,11.3257,6.50841,8.91707,-1.91
138162395,138162402,6,2893,1216,1875.6,-0.866727,-43.6187,-51.3049,-47.4618,6.09
138404651,138404650,-1,943,2021,1380.51,0.762281,5.04683,24.1637,14.6052,-0.91
141725846,141725846,0,1420,2386,1840.68,0.518961,-1.22487,13.2029,5.98901,0.09
147521039,147521039,0,1900,2080,1987.96,0.090514,-1.22487,-6.3634,-3.79413,0.09
147646422,147646422,0,2252,3237,2699.95,0.362828,-1.22487,6.11192,2.44353,0.09
149618162,149618162,0,1162,1885,1479.99,0.483785,-1.22487,11.6092,5.19219,0.09
151280266,151280263,-3,1178,2426,1690.51,0.722426,17.6996,22.3758,20.0377,-2.91
166229894,166229893,-1,1504,1189,1337.26,-0.235016,5.04683,-21.4566,-8.20486,-0.91
169803154,169803154,0,1351,2846,1960.85,0.745069,-1.22487,23.3919,11.0835,0.09
178368145,178368144,-1,1189,2034,1555.13,0.536892,5.04683,14.0143,9.53057,-0.91
179183015,179183013,-2,1518,2288,1863.65,0.410284,11.3257,8.27196,9.79884,-1.91
184074975,184074973,-2,1681,2376,1998.51,0.34603,11.3257,5.3463,8.33602,-1.91
185799091,185799091,0,1511,1824,1660.14,0.18826,-1.22487,-1.86966,-1.54726,0.09
187145846,187145847,0,1249,2026,1590.75,0.48372,-1.22487,11.6063,5.19071,0.09
187318427,187318427,0,1596,2777,2105.25,0.553871,-1.22487,14.7822,6.77864,0.09
187884678,187884674,-4,1335,1711,1511.35,0.248147,24.2562,0.874814,12.5655,-3.91
193143290,193143291,0,890,1287,1070.25,0.368848,-1.22487,6.38613,2.58063,0.09
194019469,194019469,0,1161,1687,1399.5,0.37367,-1.22487,6.60577,2.69045,0.09
195613704,195613702,-2,720,1259,952.092,0.558822,11.3257,15.006,13.1658,-1.91
207123010,207123008,-2,1258,1792,1501.44,0.353809,11.3257,5.70093,8.51333,-1.91
219039024,219039029,4,11611,6857,8922.81,-0.526683,-27.9949,-35.1461,-31.5705,4.09
221956011,221956009,-2,509,801,638.521,0.453413,11.3257,10.2314,10.7786,-1.91
223966170,223966170,0,1561,2253,1875.35,0.366936,-1.22487,6.29905,2.53709,0.09
224299527,224299534,6,2942,1568,2147.8,-0.629289,-43.6187,-39.9994,-41.809,6.09
225541572,225541570,-2,1590,2674,2061.96,0.519841,11.3257,13.2427,12.2842,-1.91
226732982,226732979,-3,1286,1792,1518.06,0.331796,17.6996,4.69717,11.1984,-2.91
227295262,227295261,-1,837,2320,1393.5,1.0195,5.04683,35.6314,20.3391,-0.91
229067541,229067539,-2,777,1686,1144.56,0.774674,11.3257,24.719,18.0223,-1.91
231287493,231287491,-2,1036,1435,1219.29,0.325798,11.3257,4.42352,7.87463,-1.91
232241466,232241466,0,1112,1945,1470.66,0.559102,-1.22487,15.0186,6.89687,0.09
232812798,232812798,0,1244,1303,1273.16,0.0463373,-1.22487,-8.40016,-4.81251,0.09
242186770,242186773,2,1618,2001,1799.34,0.212456,-14.0977,-0.760006,-7.42885,2.09
244290043,244290040,-3,938,1510,1190.12,0.476115,17.6996,11.2614,14.4805,-2.91
250857773,250857769,-4,1287,1751,1501.18,0.307873,24.2562,3.60534,13.9308,-3.91
255856413,255856411,-2,1377,2851,1981.37,0.727763,11.3257,22.6154,16.9705,-1.91
256282914,256282914,0,1357,2376,1795.61,0.560142,-1.22487,15.0656,6.92038,0.09
260300926,260300924,-2,1356,2293,1763.32,0.525322,11.3257,13.4908,12.4083,-1.91
263957972,263957970,-2,1260,2281,1695.31,0.593502,11.3257,16.5723,13.949,-1.91
266979390,266979389,-1,1100,2468,1647.67,0.808098,5.04683,26.2153,15.6311,-0.91
270011471,270011470,-1,1951,1833,1891.08,-0.0623881,5.04683,-13.4283,-4.19073,-0.91
270973154,270973153,-1,1341,1950,1617.08,0.374414,5.04683,6.63963,5.84323,-0.91
272198012,272198011,-1,1522,1907,1703.66,0.225506,5.04683,-0.161978,2.44243,-0.91
274899143,274899141,-2,907,1886,1307.9,0.732071,11.3257,22.8087,17.0672,-1.91
276543437,276543437,0,1386,1759,1561.4,0.238324,-1.22487,0.425095,-0.399885,0.09
278031265,278031269,3,3375,2286,2777.63,-0.389592,-20.8744,-28.6921,-24.7832,3.09
287714974,287714995,20,886,1188,1025.95,0.29331,-260.308,2.94014,-128.684,20.09
