fTNear,fTFar,fDelT,fQNear,fQFar,d
118939298405,118939298398,-7,102,28,40
7886493,7886493,0,1680,1946,40
10923945,10923942,-3,628,2260,40
11106704,11106719,15,111,4966,40
12242614,12242596,-18,773,2615,40
12513992,12513997,5,2656,1396,40
13129479,13129482,3,2586,2354,40
15652843,15652837,-6,1120,2362,40
16945946,16945941,-5,1153,4122,40
17257774,17257766,-8,25,1090,40
20197312,20197309,-3,1581,3283,40
20287969,20287962,-7,774,2773,40
20977028,20977038,10,19,1041,40
23458419,23458415,-4,1464,3799,40
28324466,28324461,-5,996,3549,40
28870054,28870074,20,517,2013,40
30418113,30418107,-6,945,2641,40
33076310,33076302,-8,804,3600,40
36505483,36505487,4,2462,1432,40
37885715,37885711,-4,1245,2730,40
41511884,41511878,-6,1278,3667,40
58767714,58767712,-2,1033,2146,40
59196855,59196866,11,59,668,40
61955462,61955457,-5,1210,4011,40
63925122,63925113,-9,16779,52760,40
65186451,65186446,-5,773,3858,40
66973606,66973599,-7,245,1476,40
68192503,68192506,3,11319,10666,40
70537635,70537629,-6,986,3701,40
71297636,71297638,2,165,961,40
73537250,73537254,4,2109,994,40
79505934,79505928,-6,1156,3829,40
81449045,81449064,19,150,826,40
83482255,83482251,-4,892,2537,40
85664378,85664373,-5,1001,4163,40
87009931,87009926,-5,1167,4034,40
94846286,94846279,-7,901,4270,40
94882840,94882850,10,30,1048,40
95063205,95063226,21,1123,2658,40
98002391,98002395,4,1386,1514,40
98602870,98602890,20,577,1452,40
104597394,104597390,-4,952,4034,40
108515891,108515884,-7,1036,3390,40
111040566,111040583,17,1391,96,40
112416818,112416812,-6,1022,7550,40
113351911,113351906,-5,537,1497,40
113658704,113658723,19,601,3761,40
114556510,114556524,14,827,224,40
114804017,114804012,-5,1360,1597,40
124470487,124470481,-6,1260,3838,40
127390434,127390441,7,3998,1769,40
130059066,130059061,-5,1262,3941,40
130289363,130289357,-6,1036,4488,40
135102934,135102929,-5,806,2248,40
140712785,140712781,-4,1069,1791,40
147260961,147260954,-7,1246,3981,40
147832376,147832371,-5,2133,5939,40
148315558,148315551,-7,940,3360,40
148543635,148543630,-5,1175,3229,40
152885606,152885607,1,2743,2173,40
155084978,155084972,-6,942,3240,40
158812012,158812017,5,2197,1297,40
162427892,162427886,-6,801,3757,40
173519369,173519356,-13,970,307,40
176863678,176863675,-3,1061,2073,40
177234454,177234435,-19,223,1848,40
182118528,182118531,3,26451,21590,40
186611874,186611868,-6,858,4440,40
188867440,188867434,-6,1088,4096,40
190123331,190123326,-5,897,2437,40
