fTNear,fTFar,fDelT,fQNear,fQFar,d
0,0,0,93,58,-40
3619298,3619306,8,3469,1031,-40
5208983,5208988,5,2608,1220,-40
6371745,6371760,15,1257,373,-40
7336241,7336248,7,3039,1228,-40
8047382,8047393,11,2244,1146,-40
9075361,9075367,6,2357,1344,-40
17142887,17142894,7,2279,1164,-40
18130371,18130377,6,1943,913,-40
18501689,18501695,6,1048,326,-40
21465225,21465209,-16,1953,1087,-40
23623915,23623913,-2,804,1067,-40
25386353,25386358,5,2674,1192,-40
27262768,27262775,7,3532,1512,-40
27523160,27523166,6,3005,1023,-40
28802130,28802137,7,2802,1171,-40
30906499,30906508,9,3489,1112,-40
30984450,30984456,6,2591,1074,-40
31350826,31350834,8,980,652,-40
35113730,35113735,5,2753,1150,-40
36247211,36247218,7,2566,916,-40
37825819,37825827,8,4087,1127,-40
38181509,38181514,5,3271,2223,-40
45482798,45482803,5,3562,1212,-40
50344870,50344875,5,2627,1056,-40
50845942,50845922,-20,3859,873,-40
59748796,59748780,-16,2777,1015,-40
61150534,61150538,4,1472,1093,-40
61657306,61657298,-8,610,161,-40
64093943,64093947,4,1494,993,-40
64817684,64817688,4,2159,1341,-40
66341986,66341994,8,2621,1211,-40
66539266,66539264,-2,1092,1267,-40
66883421,66883400,-21,2381,787,-40
69624702,69624708,6,2447,1306,-40
72446847,72446854,7,2855,1354,-40
72767381,72767387,6,2734,962,-40
72832365,72832354,-11,570,238,-40
75680633,75680637,4,3216,1200,-40
81985316,81985322,6,2986,1044,-40
91650569,91650573,4,2563,1382,-40
91817624,91817631,7,1368,831,-40
92625651,92625658,7,2208,1174,-40
92763021,92763027,6,3631,1758,-40
98092931,98092934,3,1974,1187,-40
99786278,99786285,7,2551,1200,-40
99812902,99812896,-6,505,4,-40
100620469,100620448,-21,1213,267,-40
105053764,105053769,5,3004,1126,-40
105162447,105162453,6,2503,1178,-40
105591895,105591902,7,2386,1235,-40
110755986,110755989,3,1648,1223,-40
111970002,111970008,6,2933,952,-40
117465494,117465500,6,3726,1570,-40
123082510,123082517,7,2204,819,-40
123469435,123469418,-17,1675,898,-40
126057753,126057759,6,3062,1341,-40
127438958,127438965,7,3462,1585,-40
128665150,128665157,7,3668,1846,-40
132177941,132177947,6,2534,1487,-40
133455625,133455621,-4,1558,4516,-40
134150646,134150653,7,45873,18814,-40
134788874,134788882,8,3087,1242,-40
136279718,136279719,1,1816,1867,-40
141094359,141094367,8,1993,753,-40
141508786,141508772,-14,2694,975,-40
141591125,141591130,5,2440,1237,-40
142818962,142818969,7,2604,1097,-40
150307699,150307705,6,1842,997,-40
151378665,151378671,6,2376,1140,-40
155921860,155921856,-4,3521,7685,-40
158108882,158108862,-20,1159,1836,-40
