fTNear,fTFar,fDelT,fQNear,fQFar,d
118889890930,118889890931,1,34,326,0
882850,882851,1,1328,1443,0
3590721,3590721,0,1303,1278,0
4332158,4332157,-1,1133,1538,0
6363659,6363662,3,1400,1888,0
9279262,9279263,1,2019,1633,0
13619816,13619815,-1,1231,1634,0
18995146,18995146,0,1335,1377,0
20479887,20479886,-1,1067,1447,0
21321723,21321723,0,1228,1758,0
21466533,21466534,1,1608,1638,0
22158738,22158720,-18,1692,1637,0
24325994,24325996,2,1521,1569,0
24493410,24493417,7,8120,2211,0
27873737,27873743,6,5454,1765,0
28310510,28310510,0,1554,1837,0
28887265,28887268,3,1216,1370,0
30908110,30908109,-1,1091,1694,0
31442207,31442206,-1,1212,1696,0
32336118,32336118,0,1071,1317,0
32460275,32460254,-21,1024,1138,0
35939708,35939710,2,1903,1272,0
36942649,36942651,2,1161,1474,0
42794758,42794757,-1,998,1237,0
45106957,45106959,2,1366,985,0
45869570,45869570,0,1686,1786,0
46734923,46734923,0,1318,1400,0
55247476,55247472,-4,21459,14812,0
55642278,55642279,1,1698,1760,0
59248818,59248818,0,1773,2318,0
59451193,59451193,0,1403,2146,0
60755751,60755750,-1,1048,1290,0
64759955,64759955,0,1673,1652,0
68224297,68224297,0,891,1594,0
71159045,71159050,5,1520,840,0
73722417,73722418,1,1678,1497,0
74062882,74062882,0,1553,1743,0
75255142,75255144,2,1127,1538,0
77783900,77783908,8,3352,1080,0
84196317,84196319,2,1726,1328,0
85798334,85798331,-3,1402,2467,0
92699035,92699031,-4,934,1578,0
97587235,97587235,0,1001,859,0
98981663,98981661,-2,1444,1945,0
99434462,99434461,-1,907,1465,0
101010870,101010870,0,1316,1485,0
103225745,103225746,1,1823,2526,0
104028990,104028986,-4,1422,3028,0
106448243,106448246,3,1383,1428,0
107522986,107522987,1,1171,1692,0
108090172,108090195,23,1577,2064,0
112992897,112992914,17,973,1903,0
113598768,113598770,2,1710,2127,0
114452933,114452933,0,1428,1348,0
114732980,114732978,-2,1124,1520,0
116113070,116113071,1,1177,1355,0
116330183,116330176,-7,929,5143,0
116450398,116450398,0,1034,1146,0
118706202,118706202,0,1694,1958,0
122432434,122432438,4,1175,1251,0
124936490,124936490,0,1315,1455,0
127087266,127087268,2,1351,1970,0
129027254,129027254,0,1221,1505,0
129491768,129491778,10,2346,1406,0
131862071,131862061,-10,1221,1611,0
136508605,136508606,1,1455,1520,0
138312726,138312725,-1,1088,1449,0
140365011,140365012,1,929,1222,0
142447554,142447554,0,1543,1912,0
146323078,146323078,0,1356,2198,0
146476446,146476445,-1,1268,1338,0
150566782,150566783,1,1100,1581,0
151501099,151501097,-2,1331,1489,0
152004690,152004691,1,1295,1883,0
156831987,156831985,-2,998,2257,0
157553547,157553549,2,1109,1396,0
158753865,158753865,0,865,993,0
162318235,162318235,0,1325,2068,0
162736106,162736106,0,1355,1876,0
164963972,164963973,1,1475,1829,0
170762012,170762012,0,1189,1600,0
173524766,173524766,0,989,1187,0
