fTNear,fTFar,fDelT,fQNear,fQFar,fQMean,fQRatio,fZDelT,fZQ,fZMean,correct
3619298,3619306,7,3469,1031,1891.17,-1.21334,-52.2974,-67.9957,-60.1465,7.09
5208983,5208988,4,2608,1220,1783.75,-0.759733,-27.9949,-46.1975,-37.0962,4.09
6371745,6371760,14,1257,373,684.734,-1.2149,-137.422,-68.0717,-102.747,14.09
7336241,7336248,6,3039,1228,1931.81,-0.906142,-43.6187,-53.1917,-48.4052,6.09
8047382,8047393,10,2244,1146,1603.63,-0.671982,-82.8543,-42.0245,-62.4394,10.09
9075361,9075367,5,2357,1344,1779.83,-0.561739,-35.5471,-36.8021,-36.1746,5.09
17142887,17142894,6,2279,1164,1628.73,-0.671874,-43.6187,-42.0194,-42.819,6.09
18130371,18130377,5,1943,913,1331.9,-0.755253,-35.5471,-45.9841,-40.7656,5.09
18501689,18501695,5,1048,326,584.507,-1.16774,-35.5471,-65.7873,-50.6672,5.09
21465225,21465209,-16,1953,1087,1457.02,-0.585945,149.137,-37.9468,55.5953,-15.91
23623915,23623913,-2,804,1067,926.212,0.283007,11.3257,2.46933,6.89753,-1.91
25386353,25386358,4,2674,1192,1785.33,-0.807943,-27.9949,-48.4962,-38.2456,4.09
27262768,27262775,6,3532,1512,2310.93,-0.848431,-43.6187,-50.43,-47.0243,6.09
27523160,27523166,5,3005,1023,1753.32,-1.07754,-35.5471,-61.4299,-48.4885,5.09
28802130,28802137,6,2802,1171,1811.39,-0.872475,-43.6187,-51.5799,-47.5993,6.09
30906499,30906508,8,3489,1112,1969.71,-1.14345,-61.6711,-64.6126,-63.1419,8.09
30984450,30984456,5,2591,1074,1668.15,-0.880654,-35.5471,-51.9712,-43.7592,5.09
31350826,31350834,7,980,652,799.35,-0.407508,-52.2974,-29.5336,-40.9155,7.09
35113730,35113735,4,2753,1150,1779.31,-0.872929,-27.9949,-51.6016,-39.7982,4.09
36247211,36247218,6,2566,916,1533.12,-1.03009,-43.6187,-59.1437,-51.3812,6.09
37825819,37825827,7,4087,1127,2146.17,-1.28825,-52.2974,-71.6323,-61.9649,7.09
38181509,38181514,4,3271,2223,2696.56,-0.386238,-27.9949,-28.5346,-28.2648,4.09
45482798,45482803,4,3562,1212,2077.77,-1.07805,-27.9949,-61.4546,-44.7247,4.09
50344870,50344875,4,2627,1056,1665.57,-0.911354,-27.9949,-53.4414,-40.7182,4.09
50845942,50845922,-20,3859,873,1835.46,-1.48623,225.634,-81.2928,72.1707,-19.91
59748796,59748780,-16,2777,1015,1678.89,-1.00648,149.137,-58.008,45.5647,-15.91
61150534,61150538,3,1472,1093,1268.42,-0.297696,-20.8744,-24.3852,-22.6298,3.09
61657306,61657298,-8,610,161,313.385,-1.33205,54.0655,-73.7635,-9.84898,-7.91
64093943,64093947,3,1494,993,1218.01,-0.408482,-20.8744,-29.5793,-25.2269,3.09
64817684,64817688,3,2159,1341,1701.53,-0.47623,-20.8744,-32.7668,-26.8206,3.09
66341986,66341994,7,2621,1211,1781.58,-0.772109,-52.2974,-46.7872,-49.5423,7.09
66539266,66539264,-2,1092,1267,1176.25,0.148641,11.3257,-3.68896,3.81838,-1.91
