fTNear,fTFar,fDelT,fQNear,fQFar,fQMean,fQRatio,fZDelT,fZQ,fZMean,correct
2723844,2723842,-2,912,2346,1462.72,0.944827,11.3257,32.3149,21.8203,-1.91
13061606,13061603,-3,1082,2681,1703.19,0.907379,17.6996,30.6477,24.1737,-2.91
13492949,13492942,-7,1241,4579,2383.81,1.30556,45.9003,48.2417,47.071,-6.91
18988811,18988809,-2,1031,2463,1593.53,0.870851,11.3257,29.019,20.1724,-1.91
19907075,19907095,19,410,1524,790.468,1.31294,-235.749,48.5647,-93.5921,19.09
23395677,23395673,-4,749,2742,1433.09,1.2977,24.2562,47.8972,36.0767,-3.91
23655620,23655634,13,954,3193,1745.31,1.20805,-122.035,43.9602,-39.0376,13.09
31345038,31345033,-5,1003,2648,1629.71,0.970809,31.0834,33.4701,32.2767,-4.91
32353767,32353762,-5,619,1516,968.713,0.895725,31.0834,30.1284,30.6059,-4.91
38014788,38014783,-5,702,1128,889.863,0.474268,31.0834,11.1777,21.1305,-4.91
41674126,41674122,-4,712,1613,1071.66,0.817773,24.2562,26.6481,25.4521,-3.91
42200201,42200201,0,216,1023,470.072,1.55522,-1.22487,59.1232,28.9492,0.09
47138307,47138305,-2,1161,1744,1422.95,0.4069,11.3257,8.11803,9.72188,-1.91
48717202,48717198,-4,894,2343,1447.29,0.963482,24.2562,33.1444,28.7003,-3.91
56312307,56312302,-5,721,3276,1536.88,1.51374,31.0834,57.3233,44.2033,-4.91
57211154,57211134,-20,1145,2765,1779.3,0.881636,225.634,29.5002,127.567,-19.91
63541606,63541602,-4,1089,2611,1686.23,0.874473,24.2562,29.1807,26.7185,-3.91
64757972,64757967,-5,996,2488,1574.18,0.915487,31.0834,31.0089,31.0461,-4.91
81319930,81319927,-3,1065,3827,2018.85,1.27911,17.6996,47.0818,32.3907,-2.91
82053072,82053089,16,876,2528,1488.13,1.05982,-172.21,37.4179,-67.3962,16.09
84607778,84607784,5,11357,21343,15569.0,0.63089,-35.5471,18.2585,-8.64431,5.09
85004152,85004147,-5,673,2423,1276.98,1.28102,31.0834,47.1655,39.1245,-4.91
88109949,88109947,-2,752,1433,1038.08,0.644789,11.3257,18.8847,15.1052,-1.91
90074091,90074077,-14,153,996,390.369,1.87331,119.182,72.8208,96.0016,-13.91
92233946,92233925,-21,114,892,318.886,2.05727,248.726,80.6569,164.691,-20.91
92674711,92674705,-6,893,2871,1601.19,1.16783,38.2688,42.189,40.2289,-5.91
93916589,93916583,-6,1160,2663,1757.58,0.831033,38.2688,27.2409,32.7548,-5.91
97906678,97906674,-4,719,2004,1200.36,1.02504,24.2562,35.8771,30.0667,-3.91
98598049,98598055,5,2751,936,1604.66,-1.0781,-35.5471,-61.4572,-48.5021,5.09
100774091,100774086,-5,1596,4791,2765.22,1.09924,31.0834,39.1617,35.1226,-4.91
100950229,100950229,0,1489,1392,1439.68,-0.0673632,-1.22487,-13.6589,-7.44188,0.09
101133676,101133670,-6,1182,2939,1863.84,0.910861,38.2688,30.8029,34.5358,-5.91
101498928,101498914,-14,1002,3670,1917.64,1.29819,119.182,47.9187,83.5506,-13.91
